condition,Probability,targetType,compType
aan,0.6075581395348837,banana,lettuce
aan,0.7259786476868327,broccoli,corn
aan,0.4520991103595324,carrot,swan
aan,0.5691657866948258,corn,broccoli
aan,0.41235392320534225,egg,strawberry
aan,0.3171247357293869,lettuce,banana
aan,0.3636363636363636,pumpkin,tomato
aan,0.463875968992248,strawberry,egg
aan,0.3285337659703914,swan,carrot
aan,0.6521739130434783,tomato,pumpkin
aap,0.611111111111111,banana,lettuce
aap,0.6607929515418501,broccoli,corn
aap,0.6571428571428571,carrot,swan
aap,0.7777777777777778,corn,broccoli
aap,0.6979865771812082,egg,strawberry
aap,0.6842105263157895,lettuce,banana
aap,0.6695278969957082,pumpkin,tomato
aap,0.5116279069767441,strawberry,egg
aap,0.7777777777777778,swan,carrot
aap,0.5937499999999999,tomato,pumpkin
atn,0.6728971962616822,banana,carrot
atn,0.9718309859154929,banana,pumpkin
atn,0.87248322147651,broccoli,strawberry
atn,0.6024340770791076,broccoli,tomato
atn,0.7883817427385893,carrot,broccoli
atn,0.6336206896551725,carrot,lettuce
atn,0.8566629339305711,corn,strawberry
atn,0.42857142857142855,corn,tomato
atn,0.7819063004846527,egg,banana
atn,0.8372093023255813,egg,corn
atn,0.4166666666666667,lettuce,carrot
atn,0.7865168539325842,lettuce,pumpkin
atn,0.7334273624823695,pumpkin,egg
atn,0.8279569892473118,pumpkin,swan
atn,0.6169354838709676,strawberry,banana
atn,0.6097560975609756,strawberry,corn
atn,0.7904191616766467,swan,broccoli
atn,0.7777777777777778,swan,lettuce
atn,0.7392438070404173,tomato,egg
atn,0.6474820143884893,tomato,swan
atp,0.7857142857142857,banana,carrot
atp,0.7241379310344828,banana,pumpkin
atp,0.7843137254901961,broccoli,strawberry
atp,0.8275862068965517,broccoli,tomato
atp,1,carrot,broccoli
atp,0.75,carrot,lettuce
atp,0.4375,corn,strawberry
atp,0.9180327868852459,corn,tomato
atp,0.7216494845360826,egg,banana
atp,0.9479166666666666,egg,corn
atp,1,lettuce,carrot
atp,1,lettuce,pumpkin
atp,0.8536585365853658,pumpkin,egg
atp,0.8275862068965517,pumpkin,swan
atp,0.7142857142857143,strawberry,banana
atp,0.8571428571428571,strawberry,corn
atp,0.7403846153846155,swan,broccoli
atp,0.9685534591194969,swan,lettuce
atp,0.813953488372093,tomato,egg
atp,0.8823529411764706,tomato,swan
tan,0.348762109795479,banana,egg
tan,0.11046511627906978,banana,strawberry
tan,0.3257629524485451,broccoli,carrot
tan,0.5932203389830508,broccoli,swan
tan,0.660377358490566,carrot,banana
tan,0.16666666666666663,carrot,lettuce
tan,0.3442622950819672,corn,egg
tan,0.10256410256410256,corn,strawberry
tan,0.40229885057471265,egg,pumpkin
tan,0.24850894632206758,egg,tomato
tan,0.3663793103448276,lettuce,carrot
tan,0.3043478260869565,lettuce,swan
tan,0.20689655172413793,pumpkin,banana
tan,0.1076487252124646,pumpkin,lettuce
tan,0.10857142857142857,strawberry,broccoli
tan,0.15841584158415842,strawberry,corn
tan,0.21428571428571427,swan,pumpkin
tan,0.30769230769230765,swan,tomato
tan,0.4142011834319527,tomato,broccoli
tan,0.5242718446601942,tomato,corn
tap,0.7090909090909091,banana,egg
tap,0.5669291338582677,banana,strawberry
tap,0.33783783783783783,broccoli,carrot
tap,0.6292134831460674,broccoli,swan
tap,0.8718975180144115,carrot,banana
tap,0.7368421052631579,carrot,lettuce
tap,0.7,corn,egg
tap,0.6153846153846153,corn,strawberry
tap,0.44889779559118237,egg,pumpkin
tap,0.6842105263157895,egg,tomato
tap,0.4585561497326203,lettuce,carrot
tap,0.5882352941176471,lettuce,swan
tap,0.7,pumpkin,banana
tap,0.7826086956521738,pumpkin,lettuce
tap,1,strawberry,broccoli
tap,0.7297297297297297,strawberry,corn
tap,0.9486166007905139,swan,pumpkin
tap,0.5932203389830508,swan,tomato
tap,0.7692307692307692,tomato,broccoli
tap,0.752851711026616,tomato,corn
ttn,0.8131313131313131,banana,corn
ttn,0.6704225352112676,broccoli,lettuce
ttn,0.4129032258064516,carrot,pumpkin
ttn,0.3524555461473327,corn,banana
ttn,0.59375,egg,swan
ttn,0.5333333333333333,lettuce,broccoli
ttn,0.6865046102263201,pumpkin,carrot
ttn,0.5308056872037915,strawberry,tomato
ttn,0.5226130653266331,swan,egg
ttn,0.4067796610169491,tomato,strawberry
ttp,0.73474001507159,banana,corn
ttp,0.9243243243243242,broccoli,lettuce
ttp,0.7250268528464017,carrot,pumpkin
ttp,0.6712328767123288,corn,banana
ttp,0.6737588652482269,egg,swan
ttp,0.7692307692307692,lettuce,broccoli
ttp,0.6916565900846433,pumpkin,carrot
ttp,0.8346820809248554,strawberry,tomato
ttp,0.7595561035758323,swan,egg
ttp,0.8362573099415205,tomato,strawberry
