trial_type,refObject,context_id,condition,utterance,utterance_cat,target,comp,contrast,distractor,pos1,pos2,pos3,pos4,reaction_time_prior,reaction_time1,reaction_time2,anon_worker_id,trial_number,contrast_present,trial_half,target_typ,comp_typ,contrast_typ,distractor_typ,target_typ_bin,comp_typ_bin,contrast_typ_bin,distractor_typ_bin,timeStep_selec,selectedItem,lastSelectedItem,mult_selec,clickedType,clickedType_diff,condition_lvl,obj_in_display,clicked,obj_in_display_diff
critical,target,orange_atn_banana,atn,orange banana,modified,orange_banana,orange_carrot,white_egg,green_swan,distractor,comp,target,contrast,2204,1720,1543,976484516941499,2,FALSE,first half,15,100,100,5,atypical,typical,typical,atypical,selectedItem_prior,orange_carrot,orange_carrot,FALSE,comp,comp,level 2: atn,target,0,target
critical,target,orange_atn_banana,atn,orange banana,modified,orange_banana,orange_carrot,white_egg,green_swan,distractor,comp,target,contrast,2204,1720,1543,976484516941499,2,FALSE,first half,15,100,100,5,atypical,typical,typical,atypical,selectedItem_prior,orange_carrot,orange_carrot,FALSE,comp,comp,level 2: atn,comp,1,comp
critical,target,orange_atn_banana,atn,orange banana,modified,orange_banana,orange_carrot,white_egg,green_swan,distractor,comp,target,contrast,2204,1720,1543,976484516941499,2,FALSE,first half,15,100,100,5,atypical,typical,typical,atypical,selectedItem_prior,orange_carrot,orange_carrot,FALSE,comp,comp,level 2: atn,contrast/distractor,0,distractor1
critical,target,orange_atn_banana,atn,orange banana,modified,orange_banana,orange_carrot,white_egg,green_swan,distractor,comp,target,contrast,2204,1720,1543,976484516941499,2,FALSE,first half,15,100,100,5,atypical,typical,typical,atypical,selectedItem_prior,orange_carrot,orange_carrot,FALSE,comp,comp,level 2: atn,distractor,0,distractor2
critical,target,yellow_atn_strawberry,atn,yellow strawberry,modified,yellow_strawberry,yellow_banana,white_egg,green_broccoli,comp,distractor,target,contrast,964,1336,768,976484516941499,7,FALSE,first half,3,100,100,100,atypical,typical,typical,typical,selectedItem_prior,yellow_banana,yellow_banana,FALSE,comp,comp,level 2: atn,target,0,target
critical,target,yellow_atn_strawberry,atn,yellow strawberry,modified,yellow_strawberry,yellow_banana,white_egg,green_broccoli,comp,distractor,target,contrast,964,1336,768,976484516941499,7,FALSE,first half,3,100,100,100,atypical,typical,typical,typical,selectedItem_prior,yellow_banana,yellow_banana,FALSE,comp,comp,level 2: atn,comp,1,comp
critical,target,yellow_atn_strawberry,atn,yellow strawberry,modified,yellow_strawberry,yellow_banana,white_egg,green_broccoli,comp,distractor,target,contrast,964,1336,768,976484516941499,7,FALSE,first half,3,100,100,100,atypical,typical,typical,typical,selectedItem_prior,yellow_banana,yellow_banana,FALSE,comp,comp,level 2: atn,contrast/distractor,0,distractor1
critical,target,yellow_atn_strawberry,atn,yellow strawberry,modified,yellow_strawberry,yellow_banana,white_egg,green_broccoli,comp,distractor,target,contrast,964,1336,768,976484516941499,7,FALSE,first half,3,100,100,100,atypical,typical,typical,typical,selectedItem_prior,yellow_banana,yellow_banana,FALSE,comp,comp,level 2: atn,distractor,0,distractor2
critical,target,white_ttp_swan,ttp,white swan,modified,white_swan,white_egg,green_swan,orange_carrot,target,distractor,contrast,comp,1024,1127,703,976484516941499,8,TRUE,first half,100,100,5,100,typical,typical,atypical,typical,selectedItem_prior,orange_carrot,orange_carrot,FALSE,distractor,distractor,level 2: ttp,target,0,target
critical,target,white_ttp_swan,ttp,white swan,modified,white_swan,white_egg,green_swan,orange_carrot,target,distractor,contrast,comp,1024,1127,703,976484516941499,8,TRUE,first half,100,100,5,100,typical,typical,atypical,typical,selectedItem_prior,orange_carrot,orange_carrot,FALSE,distractor,distractor,level 2: ttp,comp,0,comp
critical,target,white_ttp_swan,ttp,white swan,modified,white_swan,white_egg,green_swan,orange_carrot,target,distractor,contrast,comp,1024,1127,703,976484516941499,8,TRUE,first half,100,100,5,100,typical,typical,atypical,typical,selectedItem_prior,orange_carrot,orange_carrot,FALSE,distractor,distractor,level 2: ttp,contrast/distractor,0,contrast
critical,target,white_ttp_swan,ttp,white swan,modified,white_swan,white_egg,green_swan,orange_carrot,target,distractor,contrast,comp,1024,1127,703,976484516941499,8,TRUE,first half,100,100,5,100,typical,typical,atypical,typical,selectedItem_prior,orange_carrot,orange_carrot,FALSE,distractor,distractor,level 2: ttp,distractor,1,distractor
critical,target,green_atn_carrot,atn,green carrot,modified,green_carrot,green_lettuce,red_strawberry,orange_pumpkin,contrast,comp,distractor,target,1458,983,1191,976484516941499,11,FALSE,first half,2,100,100,100,atypical,typical,typical,typical,selectedItem_prior,green_carrot,green_carrot,FALSE,target,target,level 2: atn,target,1,target
critical,target,green_atn_carrot,atn,green carrot,modified,green_carrot,green_lettuce,red_strawberry,orange_pumpkin,contrast,comp,distractor,target,1458,983,1191,976484516941499,11,FALSE,first half,2,100,100,100,atypical,typical,typical,typical,selectedItem_prior,green_carrot,green_carrot,FALSE,target,target,level 2: atn,comp,0,comp
critical,target,green_atn_carrot,atn,green carrot,modified,green_carrot,green_lettuce,red_strawberry,orange_pumpkin,contrast,comp,distractor,target,1458,983,1191,976484516941499,11,FALSE,first half,2,100,100,100,atypical,typical,typical,typical,selectedItem_prior,green_carrot,green_carrot,FALSE,target,target,level 2: atn,contrast/distractor,0,distractor1
critical,target,green_atn_carrot,atn,green carrot,modified,green_carrot,green_lettuce,red_strawberry,orange_pumpkin,contrast,comp,distractor,target,1458,983,1191,976484516941499,11,FALSE,first half,2,100,100,100,atypical,typical,typical,typical,selectedItem_prior,green_carrot,green_carrot,FALSE,target,target,level 2: atn,distractor,0,distractor2
critical,target,white_ttn_swan,ttn,white swan,modified,white_swan,white_egg,red_strawberry,yellow_banana,target,distractor,contrast,comp,789,1351,732,976484516941499,19,FALSE,first half,100,100,100,100,typical,typical,typical,typical,selectedItem_prior,yellow_banana,yellow_banana,FALSE,distractor,distractor2,level 3: ttn,target,0,target
critical,target,white_ttn_swan,ttn,white swan,modified,white_swan,white_egg,red_strawberry,yellow_banana,target,distractor,contrast,comp,789,1351,732,976484516941499,19,FALSE,first half,100,100,100,100,typical,typical,typical,typical,selectedItem_prior,yellow_banana,yellow_banana,FALSE,distractor,distractor2,level 3: ttn,comp,0,comp
critical,target,white_ttn_swan,ttn,white swan,modified,white_swan,white_egg,red_strawberry,yellow_banana,target,distractor,contrast,comp,789,1351,732,976484516941499,19,FALSE,first half,100,100,100,100,typical,typical,typical,typical,selectedItem_prior,yellow_banana,yellow_banana,FALSE,distractor,distractor2,level 3: ttn,contrast/distractor,0,distractor1
critical,target,white_ttn_swan,ttn,white swan,modified,white_swan,white_egg,red_strawberry,yellow_banana,target,distractor,contrast,comp,789,1351,732,976484516941499,19,FALSE,first half,100,100,100,100,typical,typical,typical,typical,selectedItem_prior,yellow_banana,yellow_banana,FALSE,distractor,distractor2,level 3: ttn,distractor,1,distractor2
critical,target,green_ttn_lettuce,ttn,green lettuce,modified,green_lettuce,green_broccoli,white_tomato,orange_pumpkin,contrast,target,distractor,comp,741,1167,871,976484516941499,20,FALSE,first half,100,100,1.5,100,typical,typical,atypical,typical,selectedItem_prior,white_tomato,white_tomato,FALSE,contrast/distractor,distractor1,level 3: ttn,target,0,target
