"trial_number","trial_type","condition","context_id","refObject","target","comp","contrast","distractor","pos1","pos2","pos3","pos4","utterance","utterance_cat","selectedItem_prior","selectedItem1","selectedItem2","reaction_time_prior","reaction_time1","reaction_time2","RT","startDate","startTime","HitCorrect","age","gender","languages","enjoyment","comments","endTime","timeSpent","experiment_id",
"1","filler","tan","yellow_tan_banana","comp","yellow_banana","yellow_egg","red_broccoli","orange_lettuce","contrast","comp","distractor","target","egg","unmodified","red_broccoli","yellow_egg","NaN","2406","889","NaN","5117","Tue Jul 09 2019 15:02:19 GMT-0700 (Pacific Daylight Time)","1562709739884","404","44","other","German","1","TEST","1562710114155","6.23785","62",
"2","filler","ttp","white_ttp_egg","contrast","white_egg","white_swan","yellow_egg","green_broccoli","distractor","comp","contrast","target","yellow egg","modified","white_swan","yellow_egg","yellow_egg","1512","957","468","4627","Tue Jul 09 2019 15:02:19 GMT-0700 (Pacific Daylight Time)","1562709739884","404","44","other","German","1","TEST","1562710114155","6.23785","62",
"3","filler","aan","red_aan_corn","comp","red_corn","red_broccoli","orange_pumpkin","white_tomato","comp","target","contrast","distractor","red broccoli","modified","orange_pumpkin","red_broccoli","red_broccoli","1172","712","1300","5185","Tue Jul 09 2019 15:02:19 GMT-0700 (Pacific Daylight Time)","1562709739884","404","44","other","German","1","TEST","1562710114155","6.23785","62",
"4","critical","atp","yellow_atp_strawberry","target","yellow_strawberry","yellow_corn","red_strawberry","green_carrot","distractor","target","comp","contrast","yellow strawberry","modified","yellow_corn","yellow_corn","yellow_strawberry","1912","924","1943","7155","Tue Jul 09 2019 15:02:19 GMT-0700 (Pacific Daylight Time)","1562709739884","404","44","other","German","1","TEST","1562710114155","6.23785","62",
"5","filler","tan","yellow_tan_corn","comp","yellow_corn","yellow_strawberry","orange_lettuce","red_broccoli","distractor","comp","target","contrast","yellow strawberry","modified","yellow_corn","yellow_strawberry","yellow_strawberry","1516","688","1289","9310","Tue Jul 09 2019 15:02:19 GMT-0700 (Pacific Daylight Time)","1562709739884","404","44","other","German","1","TEST","1562710114155","6.23785","62",
"6","filler","aap","yellow_aap_egg","distractor","yellow_egg","yellow_strawberry","white_egg","green_broccoli","comp","contrast","target","distractor","broccoli","unmodified","yellow_strawberry","green_broccoli","NaN","1320","1299","NaN","4497","Tue Jul 09 2019 15:02:19 GMT-0700 (Pacific Daylight Time)","1562709739884","404","44","other","German","1","TEST","1562710114155","6.23785","62",
"7","filler","ttp","green_ttp_lettuce","contrast","green_lettuce","green_broccoli","orange_lettuce","white_swan","comp","contrast","target","distractor","orange lettuce","modified","green_lettuce","green_lettuce,orange_lettuce","orange_lettuce","1064","612,1601","1224","5800","Tue Jul 09 2019 15:02:19 GMT-0700 (Pacific Daylight Time)","1562709739884","404","44","other","German","1","TEST","1562710114155","6.23785","62",
"8","critical","atp","white_atp_tomato","target","white_tomato","white_swan","red_tomato","orange_pumpkin","distractor","target","comp","contrast","white tomato","modified","white_tomato","white_tomato","white_tomato","3990","667","568","6980","Tue Jul 09 2019 15:02:19 GMT-0700 (Pacific Daylight Time)","1562709739884","404","44","other","German","1","TEST","1562710114155","6.23785","62",
"9","filler","ttp","orange_ttp_pumpkin","distractor","orange_pumpkin","orange_carrot","white_pumpkin","green_lettuce","target","comp","distractor","contrast","lettuce","unmodified","orange_pumpkin","orange_pumpkin","NaN","986","611","NaN","3087","Tue Jul 09 2019 15:02:19 GMT-0700 (Pacific Daylight Time)","1562709739884","404","44","other","German","1","TEST","1562710114155","6.23785","62",
"10","filler","tap","red_tap_tomato","distractor","red_tomato","red_corn","white_tomato","green_lettuce","comp","target","distractor","contrast","lettuce","unmodified","red_corn","green_lettuce","NaN","3626","1012","NaN","5797","Tue Jul 09 2019 15:02:19 GMT-0700 (Pacific Daylight Time)","1562709739884","404","44","other","German","1","TEST","1562710114155","6.23785","62",
"11","filler","aap","yellow_aap_strawberry","distractor","yellow_strawberry","yellow_egg","red_strawberry","green_broccoli","contrast","target","comp","distractor","broccoli","unmodified","yellow_strawberry","green_broccoli","NaN","1090","1189","NaN","3386","Tue Jul 09 2019 15:02:19 GMT-0700 (Pacific Daylight Time)","1562709739884","404","44","other","German","1","TEST","1562710114155","6.23785","62",
"12","filler","tan","red_tan_strawberry","distractor","red_strawberry","red_broccoli","white_egg","yellow_corn","contrast","target","comp","distractor","corn","unmodified","red_broccoli","yellow_corn","NaN","1052","877","NaN","3787","Tue Jul 09 2019 15:02:19 GMT-0700 (Pacific Daylight Time)","1562709739884","404","44","other","German","1","TEST","1562710114155","6.23785","62",
"13","filler","atp","green_atp_swan","distractor","green_swan","green_lettuce","white_swan","red_strawberry","target","comp","contrast","distractor","strawberry","unmodified","green_lettuce","red_strawberry","NaN","1521","1258","NaN","4512","Tue Jul 09 2019 15:02:19 GMT-0700 (Pacific Daylight Time)","1562709739884","404","44","other","German","1","TEST","1562710114155","6.23785","62",
"14","filler","atn","yellow_atn_egg","distractor","yellow_egg","yellow_corn","green_broccoli","white_swan","distractor","contrast","comp","target","swan","unmodified","white_swan","white_swan","NaN","898","1011","NaN","3233","Tue Jul 09 2019 15:02:19 GMT-0700 (Pacific Daylight Time)","1562709739884","404","44","other","German","1","TEST","1562710114155","6.23785","62",
"15","critical","atp","green_atp_carrot","target","green_carrot","green_broccoli","orange_carrot","yellow_strawberry","contrast","comp","distractor","target","green carrot","modified","green_carrot","green_carrot","green_carrot","1097","646","1078","5532","Tue Jul 09 2019 15:02:19 GMT-0700 (Pacific Daylight Time)","1562709739884","404","44","other","German","1","TEST","1562710114155","6.23785","62",
"16","critical","atp","red_atp_broccoli","target","red_broccoli","red_tomato","green_broccoli","yellow_banana","contrast","comp","target","distractor","red broccoli","modified","red_broccoli","red_broccoli","red_broccoli","1231","601","645","4633","Tue Jul 09 2019 15:02:19 GMT-0700 (Pacific Daylight Time)","1562709739884","404","44","other","German","1","TEST","1562710114155","6.23785","62",
"17","filler","tan","red_tan_tomato","distractor","red_tomato","red_corn","green_swan","yellow_banana","contrast","comp","distractor","target","banana","unmodified","red_corn","yellow_banana","NaN","1772","1421","NaN","4520","Tue Jul 09 2019 15:02:19 GMT-0700 (Pacific Daylight Time)","1562709739884","404","44","other","German","1","TEST","1562710114155","6.23785","62",
