intended_target,condition,target_item,targetType,comp_item,compType,contrast_item,distractor_item,UtteranceCat,target_typ,comp_typ
competitor,ttp,green_broccoli,broccoli,green_lettuce,lettuce,red_broccoli,yellow_corn,typeOnly,typical,typical
competitor,tap,red_tomato,tomato,red_broccoli,broccoli,white_tomato,green_carrot,colorType,typical,atypical
target,atn,red_broccoli,broccoli,red_strawberry,strawberry,orange_lettuce,green_swan,colorType,atypical,typical
target,tap,white_egg,egg,white_tomato,tomato,yellow_egg,orange_carrot,colorType,typical,atypical
target,atn,orange_banana,banana,orange_carrot,carrot,white_swan,yellow_strawberry,typeOnly,atypical,typical
competitor,aap,white_pumpkin,pumpkin,white_tomato,tomato,orange_pumpkin,yellow_banana,typeOnly,atypical,atypical
target,aan,white_pumpkin,pumpkin,white_tomato,tomato,green_broccoli,orange_carrot,typeOnly,atypical,atypical
target,aap,red_broccoli,broccoli,red_corn,corn,green_broccoli,white_egg,colorType,atypical,atypical
target,ttn,red_strawberry,strawberry,red_tomato,tomato,orange_pumpkin,yellow_banana,typeOnly,typical,typical
target,atp,orange_lettuce,lettuce,orange_carrot,carrot,green_lettuce,yellow_egg,colorType,atypical,typical
target,aan,red_broccoli,broccoli,red_corn,corn,orange_pumpkin,yellow_banana,typeOnly,atypical,atypical
target,tan,white_egg,egg,white_pumpkin,pumpkin,green_swan,orange_banana,typeOnly,typical,atypical
target,atp,white_pumpkin,pumpkin,white_egg,egg,orange_pumpkin,green_lettuce,colorType,atypical,typical
target,aan,green_swan,swan,green_carrot,carrot,red_corn,orange_pumpkin,typeOnly,atypical,atypical
competitor,aap,orange_lettuce,lettuce,orange_banana,banana,green_lettuce,red_strawberry,typeOnly,atypical,atypical
target,aap,yellow_strawberry,strawberry,yellow_egg,egg,red_strawberry,orange_lettuce,colorType,atypical,atypical
competitor,atp,yellow_strawberry,strawberry,yellow_corn,corn,red_strawberry,white_egg,typeOnly,atypical,typical
target,tap,orange_pumpkin,pumpkin,orange_lettuce,lettuce,white_pumpkin,green_swan,colorType,typical,atypical
competitor,ttp,white_swan,swan,white_egg,egg,green_swan,red_corn,typeOnly,typical,typical
target,atn,red_corn,corn,red_strawberry,strawberry,yellow_banana,orange_pumpkin,typeOnly,atypical,typical
target,aan,green_carrot,carrot,green_swan,swan,white_pumpkin,orange_lettuce,typeOnly,atypical,atypical
target,tan,orange_carrot,carrot,orange_banana,banana,green_broccoli,red_tomato,typeOnly,typical,atypical
competitor,atp,white_tomato,tomato,white_swan,swan,red_tomato,yellow_egg,typeOnly,atypical,typical
target,tan,orange_pumpkin,pumpkin,orange_lettuce,lettuce,white_tomato,green_broccoli,typeOnly,typical,atypical
competitor,tap,yellow_corn,corn,yellow_egg,egg,red_corn,orange_banana,typeOnly,typical,atypical
target,atn,orange_lettuce,lettuce,orange_carrot,carrot,white_egg,green_swan,typeOnly,atypical,typical
target,ttn,green_broccoli,broccoli,green_lettuce,lettuce,yellow_egg,red_corn,typeOnly,typical,typical
target,tan,red_strawberry,strawberry,red_corn,corn,yellow_egg,green_swan,typeOnly,typical,atypical
target,ttp,white_egg,egg,white_swan,swan,yellow_egg,green_lettuce,colorType,typical,typical
