"botresponse","comments","endTime","item","languages","refexp","startDate","startTime","timeSpent","trial_number","anon_worker_id"
"Jennifer",NA,1554311361868,"images/orange_carrot.png","english","carrot","Wed Apr 03 2019 13:08:54 GMT-0400 (Eastern Daylight Time)",1554311334320,0.459133333333333,1,"463634106294087"
"Sarah",NA,1554310505931,"images/orange_banana.png","English","Banana","Wed Apr 03 2019 09:54:31 GMT-0700 (Pacific Daylight Time)",1554310471412,0.575316666666667,1,"313362911560875"
"Jennifer",NA,1554308100243,"images/orange_banana.png","English","banana","Wed Apr 03 2019 12:13:23 GMT-0400 (Eastern Daylight Time)",1554308003953,1.60483333333333,1,"990613261868155"
"jessica","English is a West Germanic language that was first spoken in early medieval England and eventually became a global lingua franca. It is named after the Angles, one of the Germanic tribes that migrated to the area of Great Britain that later took their name",1554307323569,"images/orange_carrot.png","english","carrot","Wed Apr 03 2019 08:58:58 GMT-0700 (Pacific Daylight Time)",1554307138357,3.08686666666667,1,"563464772612457"
"Elizabeth",NA,1554307055515,"images/yellow_banana.png","English","banana","Wed Apr 03 2019 10:57:12 GMT-0500 (Central Daylight Time)",1554307032154,0.38935,1,"166094089814779"
"Susan",NA,1554306979862,"images/green_carrot.png","US English and proper French","carrot","Wed Apr 03 2019 08:54:43 GMT-0700 (Pacific Daylight Time)",1554306883382,1.608,1,"712955929741535"
"Jennifer",NA,1554306766784,"images/yellow_banana.png","English","banana","Wed Apr 03 2019 11:52:27 GMT-0400 (Eastern Daylight Time)",1554306747333,0.324183333333333,1,"715497148454471"
"Patricia",NA,1554306324676,"images/orange_carrot.png","english","carrot","Wed Apr 03 2019 10:44:58 GMT-0500 (Central Daylight Time)",1554306298039,0.44395,1,"316665120605596"
"Mary","This was weird..but fun I guess? lol",1554306081475,"images/yellow_banana.png","English","banana","Wed Apr 03 2019 11:27:14 GMT-0400 (Eastern Daylight Time)",1554305234197,14.1213,1,"007001643949958"
"Elizabeth","n/a",1554305707397,"images/orange_banana.png","English","A banana","Wed Apr 03 2019 10:34:43 GMT-0500 (Central Daylight Time)",1554305683506,0.398183333333333,1,"065852856758573"
