"botresponse","comments","endTime","item","languages","refexp","startDate","startTime","timeSpent","trial_number","anon_worker_id"
"Susan",NA,1562349475977,"images/toxicorange_banana.png","english","Banana","Fri Jul 05 2019 12:57:35 GMT-0500 (CDT)",1562349455161,0.346933333333333,1,"570434038801436"
"Barbara",NA,1562347893671,"images/toxicorange_banana.png","english","banana","Fri Jul 05 2019 13:30:35 GMT-0400 (Eastern Daylight Time)",1562347835796,0.964583333333333,1,"605242454981612"
"Jennifer",NA,1562345227551,"images/toxicorange_banana.png","English","Banana","Fri Jul 05 2019 12:45:53 GMT-0400 (Eastern Daylight Time)",1562345153015,1.24226666666667,1,"112666049142355"
"Barbara","thanks for the survey",1562345187720,"images/toxicorange_banana.png","English","Bannana","Fri Jul 05 2019 12:42:48 GMT-0400 (Eastern Daylight Time)",1562344968416,3.65506666666667,1,"211570600180952"
"Linda",NA,1562344792473,"images/toxicorange_banana.png","English","Banana","Fri Jul 05 2019 12:39:07 GMT-0400 (Eastern Daylight Time)",1562344747665,0.7468,1,"421816085437323"
"Jennifer",NA,1562344599598,"images/toxicorange_banana.png","english","banana","Fri Jul 05 2019 09:36:02 GMT-0700 (Pacific Daylight Time)",1562344562937,0.611016666666667,1,"182949637377498"
"Linda",NA,1562344280313,"images/toxicorange_banana.png","English","Banana","Fri Jul 05 2019 12:30:59 GMT-0400 (Eastern Daylight Time)",1562344259585,0.345466666666667,1,"265688850463680"
"Linda",NA,1562343149274,"images/toxicorange_banana.png","English","banana","Fri Jul 05 2019 11:12:17 GMT-0500 (Central Daylight Time)",1562343137333,0.199016666666667,1,"036630630948667"
"Mary",NA,1562342987586,"images/toxicorange_banana.png","English","banana","Fri Jul 05 2019 12:09:26 GMT-0400 (Eastern Daylight Time)",1562342966073,0.35855,1,"981263397264009"
"Susan","I used to have a song when I was a child that helped me remember how many n's are in banana and how many s's, p's and i's are in Mississippi",1562342730343,"images/toxicorange_banana.png","English","Banana","Fri Jul 05 2019 12:04:24 GMT-0400 (Eastern Daylight Time)",1562342664556,1.09645,1,"720706648756624"
"Jessica",NA,1562342614301,"images/toxicorange_banana.png","English","banana","Fri Jul 05 2019 12:03:11 GMT-0400 (Eastern Daylight Time)",1562342591768,0.37555,1,"853504916420088"
"Jessica",NA,1562342591257,"images/toxicorange_banana.png","English","banana","Fri Jul 05 2019 11:50:32 GMT-0400 (Paraguay Standard Time)",1562341832825,12.6405333333333,1,"757153209053127"
"Sarah",NA,1562342187462,"images/toxicorange_banana.png","English","banana","Fri Jul 05 2019 11:55:17 GMT-0400 (Eastern Daylight Time)",1562342117638,1.16373333333333,1,"681168270211707"
"Susan",NA,1562341980928,"images/toxicorange_banana.png","english","Banana","Fri Jul 05 2019 08:52:33 GMT-0700 (Pacific Daylight Time)",1562341953492,0.457266666666667,1,"041766541938894"
"Patricia",NA,1562341801429,"images/toxicorange_banana.png","English","A banana","Fri Jul 05 2019 08:49:00 GMT-0700 (Pacific Daylight Time)",1562341740916,1.00855,1,"367208473600048"
"Jennifer",NA,1562341768465,"images/toxicorange_banana.png","English","banana","Fri Jul 05 2019 10:48:39 GMT-0500 (Central Daylight Time)",1562341719186,0.821316666666667,1,"545772174207776"
"Margaret",NA,1562341421312,"images/toxicorange_banana.png","English","banana","Fri Jul 05 2019 11:42:27 GMT-0400 (Eastern Daylight Time)",1562341347741,1.22618333333333,1,"312567780605929"
"Linda",NA,1562341057904,"images/toxicorange_banana.png","English","Banana","Fri Jul 05 2019 11:37:20 GMT-0400 (Eastern Daylight Time)",1562341040837,0.28445,1,"996408524147401"
"Jessica",NA,1562341025699,"images/toxicorange_banana.png","English","Banana","Fri Jul 05 2019 11:36:49 GMT-0400 (Eastern Daylight Time)",1562341009113,0.276433333333333,1,"242826784432618"
"Sarah",NA,1562340693203,"images/toxicorange_banana.png","english, russian","banana","Fri Jul 05 2019 11:30:20 GMT-0400 (Eastern Daylight Time)",1562340620440,1.21271666666667,1,"678514941115264"
"Linda","None.",1562340487242,"images/toxicorange_banana.png","English","banana","Fri Jul 05 2019 10:27:24 GMT-0500 (Central Daylight Time)",1562340444075,0.71945,1,"115420587935964"
"Barbara","TEST",1562283275889,"images/toxicorange_banana.png","German","toxic banana","Thu Jul 04 2019 16:33:51 GMT-0700 (Pacific Daylight Time)",1562283231553,0.738933333333333,1,"983296708219827"
