"HitCorrect","age","botresponse","color","comments","education","endTime","enjoyment","gender","languages","refexp1","refexp1_checked","refexp2","refexp2_checked","refexp3","refexp3_checked","refexp4","refexp4_checked","refexp_other","startDate","startTime","timeSpent","trial_number","type","typicality_cat","anon_worker_id"
1,35,"Barbara","yellow",NA,"graduated_college",1553019361991,1,"male","English","jacket",TRUE,"book",FALSE,"yellow jacket",FALSE,"other",FALSE,NA,"Tue Mar 19 2019 11:10:28 GMT-0700 (Pacific Daylight Time)",1553019028226,5.56275,1,"jacket","noncd","859806752000542"
1,35,"Barbara","yellow",NA,"graduated_college",1553019361991,1,"male","English","strawberry",FALSE,"horse",FALSE,"yellow strawberry",TRUE,"other",FALSE,NA,"Tue Mar 19 2019 11:10:28 GMT-0700 (Pacific Daylight Time)",1553019028226,5.56275,2,"strawberry","atyp","859806752000542"
1,35,"Barbara","red",NA,"graduated_college",1553019361991,1,"male","English","yellow banana",FALSE,"red car",FALSE,"car",TRUE,"other",FALSE,NA,"Tue Mar 19 2019 11:10:28 GMT-0700 (Pacific Daylight Time)",1553019028226,5.56275,3,"car","noncd","859806752000542"
1,35,"Barbara","yellow",NA,"graduated_college",1553019361991,1,"male","English","lamp",TRUE,"red rock",FALSE,"yellow lamp",FALSE,"other",FALSE,NA,"Tue Mar 19 2019 11:10:28 GMT-0700 (Pacific Daylight Time)",1553019028226,5.56275,4,"lamp","noncd","859806752000542"
1,35,"Barbara","green",NA,"graduated_college",1553019361991,1,"male","English","yellow bike",FALSE,"scissors",TRUE,"green scissors",FALSE,"other",FALSE,NA,"Tue Mar 19 2019 11:10:28 GMT-0700 (Pacific Daylight Time)",1553019028226,5.56275,5,"scissors","noncd","859806752000542"
1,35,"Barbara","yellow",NA,"graduated_college",1553019361991,1,"male","English","candle",FALSE,"yellow banana",FALSE,"banana",TRUE,"other",FALSE,NA,"Tue Mar 19 2019 11:10:28 GMT-0700 (Pacific Daylight Time)",1553019028226,5.56275,6,"banana","typ","859806752000542"
1,35,"Barbara","red",NA,"graduated_college",1553019361991,1,"male","English","red table",FALSE,"table",TRUE,"orange balloon",FALSE,"other",FALSE,NA,"Tue Mar 19 2019 11:10:28 GMT-0700 (Pacific Daylight Time)",1553019028226,5.56275,7,"table","noncd","859806752000542"
1,35,"Barbara","white",NA,"graduated_college",1553019361991,1,"male","English","white pumpkin",TRUE,"pumpkin",FALSE,"red book",FALSE,"other",FALSE,NA,"Tue Mar 19 2019 11:10:28 GMT-0700 (Pacific Daylight Time)",1553019028226,5.56275,8,"pumpkin","atyp","859806752000542"
1,35,"Barbara","blue",NA,"graduated_college",1553019361991,1,"male","English","sponge",FALSE,"chair",FALSE,"blue sponge",TRUE,"other",FALSE,NA,"Tue Mar 19 2019 11:10:28 GMT-0700 (Pacific Daylight Time)",1553019028226,5.56275,9,"sponge","noncd","859806752000542"
1,35,"Barbara","red",NA,"graduated_college",1553019361991,1,"male","English","green toothbrush",FALSE,"red book",TRUE,"book",FALSE,"other",FALSE,NA,"Tue Mar 19 2019 11:10:28 GMT-0700 (Pacific Daylight Time)",1553019028226,5.56275,10,"book","noncd","859806752000542"
1,35,"Barbara","red",NA,"graduated_college",1553019361991,1,"male","English","yellow banana",FALSE,"red bell pepper",TRUE,"bell pepper",FALSE,"other",FALSE,NA,"Tue Mar 19 2019 11:10:28 GMT-0700 (Pacific Daylight Time)",1553019028226,5.56275,11,"bell pepper","noncd","859806752000542"
1,35,"Barbara","red",NA,"graduated_college",1553019361991,1,"male","English","flower",TRUE,"red flower",FALSE,"yellow bike",FALSE,"other",FALSE,NA,"Tue Mar 19 2019 11:10:28 GMT-0700 (Pacific Daylight Time)",1553019028226,5.56275,12,"flower","noncd","859806752000542"
1,35,"Barbara","orange",NA,"graduated_college",1553019361991,1,"male","English","butterfly",TRUE,"orange butterfly",FALSE,"red car",FALSE,"other",FALSE,NA,"Tue Mar 19 2019 11:10:28 GMT-0700 (Pacific Daylight Time)",1553019028226,5.56275,13,"butterfly","noncd","859806752000542"
1,35,"Barbara","red",NA,"graduated_college",1553019361991,1,"male","English","corn",FALSE,"soap",TRUE,"red soap",FALSE,"other",FALSE,NA,"Tue Mar 19 2019 11:10:28 GMT-0700 (Pacific Daylight Time)",1553019028226,5.56275,14,"soap","noncd","859806752000542"
1,35,"Barbara","orange",NA,"graduated_college",1553019361991,1,"male","English","orange lettuce",TRUE,"lettuce",FALSE,"snowman",FALSE,"other",FALSE,NA,"Tue Mar 19 2019 11:10:28 GMT-0700 (Pacific Daylight Time)",1553019028226,5.56275,15,"lettuce","atyp","859806752000542"
1,35,"Barbara","black",NA,"graduated_college",1553019361991,1,"male","English","black feather",FALSE,"feather",TRUE,"flower",FALSE,"other",FALSE,NA,"Tue Mar 19 2019 11:10:28 GMT-0700 (Pacific Daylight Time)",1553019028226,5.56275,16,"feather","noncd","859806752000542"
1,35,"Barbara","red",NA,"graduated_college",1553019361991,1,"male","English","red tomato",FALSE,"tomato",TRUE,"green lettuce",FALSE,"other",FALSE,NA,"Tue Mar 19 2019 11:10:28 GMT-0700 (Pacific Daylight Time)",1553019028226,5.56275,17,"tomato","typ","859806752000542"
