"col_type","color","type","typicality_cat","ref_cat","anon_worker_id"
"green_carrot","green","carrot","atyp","color+type","436979026721126"
"red_corn","red","corn","atyp","color+type","436979026721126"
"red_broccoli","red","broccoli","atyp","color+type","376820064567768"
"yellow_strawberry","yellow","strawberry","atyp","color+type","144755363139591"
"white_tomato","white","tomato","atyp","color+type","144755363139591"
"green_carrot","green","carrot","atyp","color+type","621792455516358"
"green_carrot","green","carrot","atyp","color+type","362635496236038"
"white_tomato","white","tomato","atyp","color+type","362635496236038"
"yellow_strawberry","yellow","strawberry","atyp","color+type","362635496236038"
"red_corn","red","corn","atyp","color+type","362635496236038"
"red_broccoli","red","broccoli","atyp","color+type","362635496236038"
"green_carrot","green","carrot","atyp","color+type","834444623578249"
"white_pumpkin","white","pumpkin","atyp","color+type","834444623578249"
"yellow_strawberry","yellow","strawberry","atyp","color+type","834444623578249"
"green_carrot","green","carrot","atyp","color+type","490495854604812"
"yellow_strawberry","yellow","strawberry","atyp","color+type","490495854604812"
"yellow_corn","yellow","corn","typ","type","48432314712788"
"yellow_banana","yellow","banana","typ","type","48432314712788"
"green_swan","green","swan","atyp","type","48432314712788"
"orange_carrot","orange","carrot","typ","type","48432314712788"
"green_broccoli","green","broccoli","typ","type","48432314712788"
"green_lettuce","green","lettuce","typ","type","48432314712788"
"white_snowman","white","snowman","typ","type","48432314712788"
"yellow_strawberry","yellow","strawberry","atyp","type","48432314712788"
"red_tomato","red","tomato","typ","type","48432314712788"
"white_egg","white","egg","typ","type","48432314712788"
"green_carrot","green","carrot","atyp","type","943649127350302"
"red_strawberry","red","strawberry","typ","type","943649127350302"
"white_pumpkin","white","pumpkin","atyp","type","943649127350302"
"yellow_egg","yellow","egg","atyp","type","943649127350302"
"orange_banana","orange","banana","atyp","type","943649127350302"
"white_snowman","white","snowman","typ","type","943649127350302"
"white_swan","white","swan","typ","type","943649127350302"
"red_tomato","red","tomato","typ","type","943649127350302"
"green_broccoli","green","broccoli","typ","type","943649127350302"
"red_corn","red","corn","atyp","type","943649127350302"
"green_lettuce","green","lettuce","typ","type","943649127350302"
"yellow_banana","yellow","banana","typ","type","941601678774803"
"orange_carrot","orange","carrot","typ","type","941601678774803"
"white_swan","white","swan","typ","type","941601678774803"
"red_broccoli","red","broccoli","atyp","type","941601678774803"
"white_pumpkin","white","pumpkin","atyp","type","941601678774803"
"red_strawberry","red","strawberry","typ","type","941601678774803"
"red_corn","red","corn","atyp","type","941601678774803"
"green_lettuce","green","lettuce","typ","type","941601678774803"
"yellow_egg","yellow","egg","atyp","type","941601678774803"
"red_tomato","red","tomato","typ","type","941601678774803"
"white_snowman","white","snowman","typ","type","941601678774803"
"orange_banana","orange","banana","atyp","type","896734555152636"
"green_broccoli","green","broccoli","typ","type","896734555152636"
"white_snowman","white","snowman","typ","type","896734555152636"
"red_tomato","red","tomato","typ","type","896734555152636"
"green_swan","green","swan","atyp","type","896734555152636"
"orange_carrot","orange","carrot","typ","type","896734555152636"
"white_egg","white","egg","typ","type","896734555152636"
"green_broccoli","green","broccoli","typ","type","135339552064881"
"red_corn","red","corn","atyp","type","135339552064881"
"white_tomato","white","tomato","atyp","type","135339552064881"
"yellow_banana","yellow","banana","typ","type","135339552064881"
"white_egg","white","egg","typ","type","135339552064881"
"white_pumpkin","white","pumpkin","atyp","type","135339552064881"
"green_lettuce","green","lettuce","typ","type","135339552064881"
"red_strawberry","red","strawberry","typ","type","135339552064881"
"orange_carrot","orange","carrot","typ","type","135339552064881"
"white_swan","white","swan","typ","type","135339552064881"
"yellow_snowman","yellow","snowman","atyp","type","135339552064881"
"white_snowman","white","snowman","typ","type","436979026721126"
"green_broccoli","green","broccoli","typ","type","436979026721126"
"orange_pumpkin","orange","pumpkin","typ","type","436979026721126"
"red_strawberry","red","strawberry","typ","type","436979026721126"
"red_tomato","red","tomato","typ","type","436979026721126"
"yellow_banana","yellow","banana","typ","type","436979026721126"
"white_egg","white","egg","typ","type","436979026721126"
"red_tomato","red","tomato","typ","type","889418465381468"
"yellow_snowman","yellow","snowman","atyp","type","889418465381468"
"white_pumpkin","white","pumpkin","atyp","type","889418465381468"
"yellow_corn","yellow","corn","typ","type","889418465381468"
"green_broccoli","green","broccoli","typ","type","889418465381468"
"yellow_strawberry","yellow","strawberry","atyp","type","889418465381468"
"green_swan","green","swan","atyp","type","889418465381468"
"orange_carrot","orange","carrot","typ","type","889418465381468"
"yellow_banana","yellow","banana","typ","type","889418465381468"
"yellow_egg","yellow","egg","atyp","type","889418465381468"
"orange_banana","orange","banana","atyp","type","444824962151395"
"white_swan","white","swan","typ","type","444824962151395"
"yellow_snowman","yellow","snowman","atyp","type","444824962151395"
"yellow_corn","yellow","corn","typ","type","444824962151395"
"green_lettuce","green","lettuce","typ","type","444824962151395"
"white_tomato","white","tomato","atyp","type","444824962151395"
"green_broccoli","green","broccoli","typ","type","444824962151395"
"orange_pumpkin","orange","pumpkin","typ","type","444824962151395"
"orange_carrot","orange","carrot","typ","type","444824962151395"
"white_egg","white","egg","typ","type","444824962151395"
"yellow_strawberry","yellow","strawberry","atyp","type","444824962151395"
