"col_type","color","type","typicality_cat","ref_cat","anon_worker_id"
"yellow_egg","yellow","egg","atyp","color+type","072991819913452"
"green_carrot","green","carrot","atyp","color+type","072991819913452"
"yellow_snowman","yellow","snowman","atyp","color+type","072991819913452"
"red_broccoli","red","broccoli","atyp","color+type","072991819913452"
"red_broccoli","red","broccoli","atyp","color+type","019224102925037"
"orange_lettuce","orange","lettuce","atyp","color+type","019224102925037"
"yellow_strawberry","yellow","strawberry","atyp","color+type","019224102925037"
"green_swan","green","swan","atyp","color+type","019224102925037"
"green_carrot","green","carrot","atyp","color+type","085638838858584"
"yellow_snowman","yellow","snowman","atyp","color+type","085638838858584"
"orange_banana","orange","banana","atyp","color+type","085638838858584"
"yellow_strawberry","yellow","strawberry","atyp","color+type","085638838858584"
"orange_lettuce","orange","lettuce","atyp","color+type","683248109305865"
"green_carrot","green","carrot","atyp","color+type","683248109305865"
"yellow_strawberry","yellow","strawberry","atyp","color+type","683248109305865"
"white_tomato","white","tomato","atyp","color+type","683248109305865"
"yellow_egg","yellow","egg","atyp","color+type","683248109305865"
"yellow_egg","yellow","egg","atyp","color+type","434822681183784"
"yellow_banana","yellow","banana","typ","color+type","434822681183784"
"red_broccoli","red","broccoli","atyp","color+type","434822681183784"
"orange_lettuce","orange","lettuce","atyp","color+type","434822681183784"
"yellow_strawberry","yellow","strawberry","atyp","color+type","434822681183784"
"white_pumpkin","white","pumpkin","atyp","color+type","732891697152835"
"green_carrot","green","carrot","atyp","color+type","732891697152835"
"orange_banana","orange","banana","atyp","color+type","732891697152835"
"yellow_egg","yellow","egg","atyp","color+type","732891697152835"
"green_swan","green","swan","atyp","color+type","732891697152835"
"white_egg","white","egg","typ","color+type","860010661926049"
"red_corn","red","corn","atyp","color+type","860010661926049"
"white_tomato","white","tomato","atyp","color+type","860010661926049"
"yellow_snowman","yellow","snowman","atyp","color+type","860010661926049"
"green_carrot","green","carrot","atyp","color+type","860010661926049"
"white_pumpkin","white","pumpkin","atyp","color+type","860010661926049"
"yellow_strawberry","yellow","strawberry","atyp","color+type","860010661926049"
"orange_banana","orange","banana","atyp","color+type","098973381782146"
