"startDate","speaker_timestamps","glb_chain","glb_variant","selected_image","contrastColor","participant_id","color_indices","listener_timestamps","conversation","targetType","glb_realization","condition","endTime","contrastType","distractorType","chain","age","comments","variant","education","listener_chat","languages","selected_type","compType","RT","speaker_chat","distractorColor","targetcompColor","intended_target","gender","trial_number","startTime","timeSpent","realization","anon_worker_id"
"Mon Nov 18 2019 22:23:28 GMT+0100 (Central European Standard Time)","1574112264632",1,2,"orange_lettuce.png","white","41d06c99c77a2df48994fc87383e7c8d86a6e0f6","0|1|2|3",NA,"<strong>Director</strong>: lettuce","lettuce",1,"aan",1574112254494,"swan","egg",1,29,"TEST",2,"Graduated College",NA,"German","target","banana",9591,"lettuce","yellow","orange","target","female",1,1574112208932,0.759366666666667,1,"482467342226241"
"Mon Nov 18 2019 22:23:28 GMT+0100 (Central European Standard Time)","1574112272619",1,2,"white_egg.png","yellow","41d06c99c77a2df48994fc87383e7c8d86a6e0f6","0|1|3|2",NA,"<strong>Director</strong>: white egg","egg",1,"ttp",1574112254494,"egg","tomato",1,29,"TEST",2,"Graduated College",NA,"German","target","swan",8215,"white egg","red","white","target","female",2,1574112208932,0.759366666666667,1,"482467342226241"
"Mon Nov 18 2019 22:23:28 GMT+0100 (Central European Standard Time)","1574112282274",1,2,"orange_pumpkin.png","red","41d06c99c77a2df48994fc87383e7c8d86a6e0f6","2|3|0|1",NA,"<strong>Director</strong>: pumpkin","pumpkin",1,"ttn",1574112254494,"broccoli","lettuce",1,29,"TEST",2,"Graduated College",NA,"German","target","carrot",8441,"pumpkin","green","orange","target","female",3,1574112208932,0.759366666666667,1,"482467342226241"
"Mon Nov 18 2019 22:23:28 GMT+0100 (Central European Standard Time)","1574112289514",1,2,"white_tomato.png","yellow","41d06c99c77a2df48994fc87383e7c8d86a6e0f6","3|0|2|1",NA,"<strong>Director</strong>: white tomato","broccoli",1,"tan",1574112254494,"egg","tomato",1,29,"TEST",2,"Graduated College",NA,"German","thirdDistractor","swan",6631,"white tomato","white","green","thirdDistractor","female",4,1574112208932,0.759366666666667,1,"482467342226241"
"Mon Nov 18 2019 22:23:28 GMT+0100 (Central European Standard Time)","1574112296566",1,2,"green_carrot.png","orange","41d06c99c77a2df48994fc87383e7c8d86a6e0f6","3|0|1|2",NA,"<strong>Director</strong>: green carrot","carrot",1,"aan",1574112254494,"lettuce","tomato",1,29,"TEST",2,"Graduated College",NA,"German","target","swan",6349,"green carrot","white","green","target","female",5,1574112208932,0.759366666666667,1,"482467342226241"
"Mon Nov 18 2019 22:23:28 GMT+0100 (Central European Standard Time)","1574112302123",1,2,"red_broccoli.png","orange","41d06c99c77a2df48994fc87383e7c8d86a6e0f6","1|2|3|0",NA,"<strong>Director</strong>: red brocc","carrot",1,"atn",1574112254494,"banana","broccoli",1,29,"TEST",2,"Graduated College",NA,"German","thirdDistractor","lettuce",4736,"red brocc","red","green","thirdDistractor","female",6,1574112208932,0.759366666666667,1,"482467342226241"
"Mon Nov 18 2019 22:23:28 GMT+0100 (Central European Standard Time)","1574112307038",1,2,"green_broccoli.png","yellow","41d06c99c77a2df48994fc87383e7c8d86a6e0f6","0|1|2|3",NA,"<strong>Director</strong>: brocc","corn",1,"atn",1574112254494,"egg","broccoli",1,29,"TEST",2,"Graduated College",NA,"German","thirdDistractor","tomato",4220,"brocc","green","red","thirdDistractor","female",7,1574112208932,0.759366666666667,1,"482467342226241"
"Mon Nov 18 2019 22:23:28 GMT+0100 (Central European Standard Time)","1574112313195",1,2,"white_pumpkin.png","orange","41d06c99c77a2df48994fc87383e7c8d86a6e0f6","2|1|3|0",NA,"<strong>Director</strong>: white pumpkin","pumpkin",1,"atn",1574112254494,"banana","corn",1,29,"TEST",2,"Graduated College",NA,"German","target","swan",5415,"white pumpkin","yellow","white","target","female",8,1574112208932,0.759366666666667,1,"482467342226241"
"Mon Nov 18 2019 22:23:28 GMT+0100 (Central European Standard Time)","1574112317292",1,2,"white_tomato.png","orange","41d06c99c77a2df48994fc87383e7c8d86a6e0f6","1|2|0|3",NA,"<strong>Director</strong>: tomato","corn",1,"ttn",1574112254494,"pumpkin","tomato",1,29,"TEST",2,"Graduated College",NA,"German","thirdDistractor","banana",4000,"tomato","white","yellow","thirdDistractor","female",9,1574112208932,0.759366666666667,1,"482467342226241"
"Mon Nov 18 2019 22:23:28 GMT+0100 (Central European Standard Time)","1574112324020",1,2,"green_swan.png","green","41d06c99c77a2df48994fc87383e7c8d86a6e0f6","1|2|0|3",NA,"<strong>Director</strong>: swan green","swan",1,"tap",1574112254494,"swan","banana",1,29,"TEST",2,"Graduated College",NA,"German","secondDistractor","pumpkin",5739,"swan green","yellow","white","secondDistractor","female",10,1574112208932,0.759366666666667,1,"482467342226241"
