"startDate","speaker_timestamps","glb_chain","glb_variant","selected_image","contrastColor","participant_id","color_indices","listener_timestamps","conversation","targetType","glb_realization","condition","endTime","contrastType","distractorType","chain","age","comments","variant","education","listener_chat","languages","selected_type","compType","RT","speaker_chat","distractorColor","targetcompColor","intended_target","gender","trial_number","startTime","timeSpent","realization","anon_worker_id"
"Mon Dec 16 2019 11:19:33 GMT-0500 (Eastern Standard Time)","1576513817069",1,2,"green_lettuce.png","orange","ffc91014a76fc4160aa75bcad1e503f2c77f0139","2|1|0|3","1576513747641","<strong>Matcher</strong>: hi\n<strong>Director</strong>: Hi! The object is the base of a salad.","pumpkin",1,"atn",1576513594395,"banana","lettuce",1,69,"none",2,"Graduated College","hi","English","thirdDistractor","egg",114464,"Hi! The object is the base of a salad.","green","white","thirdDistractor","female",1,1576513173782,7.01021666666667,1,"833746800427623"
"Mon Dec 16 2019 11:19:33 GMT-0500 (Eastern Standard Time)","1576513918353",1,2,"yellow_banana.png","white","ffc91014a76fc4160aa75bcad1e503f2c77f0139","3|1|2|0","1576513883739","<strong>Matcher</strong>: Do I just click on the object or do I need to send you a message also?\n<strong>Director</strong>: Just click on it I think. The new object is yellow and monkey's eat them.","banana",1,"ttn",1576513594395,"swan","carrot",1,69,"none",2,"Graduated College","Do I just click on the object or do I need to send you a message also?","English","target","corn",81935,"Just click on it I think. The new object is yellow and monkey's eat them.","green","yellow","target","female",2,1576513173782,7.01021666666667,1,"833746800427623"
"Mon Dec 16 2019 11:19:33 GMT-0500 (Eastern Standard Time)","1576513989971",1,2,"white_pumpkin.png","green","ffc91014a76fc4160aa75bcad1e503f2c77f0139","2|0|3|1",NA,"<strong>Director</strong>: The new one is something we use at Halloween except it's white.","pumpkin",1,"aan",1576513594395,"lettuce","corn",1,69,"none",2,"Graduated College",NA,"English","target","tomato",69519,"The new one is something we use at Halloween except it's white.","yellow","white","target","female",3,1576513173782,7.01021666666667,1,"833746800427623"
"Mon Dec 16 2019 11:19:33 GMT-0500 (Eastern Standard Time)","1576514046075",1,2,"yellow_egg.png","yellow","ffc91014a76fc4160aa75bcad1e503f2c77f0139","0|3|1|2",NA,"<strong>Director</strong>: The object is yellow","egg",1,"tap",1576513594395,"egg","strawberry",1,69,"none",2,"Graduated College",NA,"English","secondDistractor","pumpkin",46299,"The object is yellow","red","white","secondDistractor","female",4,1576513173782,7.01021666666667,1,"833746800427623"
"Mon Dec 16 2019 11:19:33 GMT-0500 (Eastern Standard Time)","1576514068271",1,2,"yellow_corn.png","orange","ffc91014a76fc4160aa75bcad1e503f2c77f0139","3|0|2|1",NA,"<strong>Director</strong>: The object is something on a cob","banana",1,"ttp",1576513594395,"banana","swan",1,69,"none",2,"Graduated College",NA,"English","firstDistractor","corn",35233,"The object is something on a cob","green","yellow","firstDistractor","female",5,1576513173782,7.01021666666667,1,"833746800427623"
"Mon Dec 16 2019 11:19:33 GMT-0500 (Eastern Standard Time)","1576514104091",1,2,"red_broccoli.png","green","ffc91014a76fc4160aa75bcad1e503f2c77f0139","0|1|2|3",NA,"<strong>Director</strong>: The object is red and it's usually green","broccoli",1,"atp",1576513594395,"broccoli","egg",1,69,"none",2,"Graduated College",NA,"English","target","strawberry",21714,"The object is red and it's usually green","yellow","red","target","female",6,1576513173782,7.01021666666667,1,"833746800427623"
"Mon Dec 16 2019 11:19:33 GMT-0500 (Eastern Standard Time)","1576514123318",1,2,"green_broccoli.png","green","ffc91014a76fc4160aa75bcad1e503f2c77f0139","0|2|3|1",NA,"<strong>Director</strong>: The object is green","broccoli",1,"atp",1576513594395,"broccoli","banana",1,69,"none",2,"Graduated College",NA,"English","secondDistractor","tomato",24800,"The object is green","orange","red","secondDistractor","female",7,1576513173782,7.01021666666667,1,"833746800427623"
"Mon Dec 16 2019 11:19:33 GMT-0500 (Eastern Standard Time)","1576514153970",1,2,"orange_lettuce.png","green","ffc91014a76fc4160aa75bcad1e503f2c77f0139","0|1|2|3",NA,"<strong>Director</strong>: The object is orange and used as a salad base","tomato",1,"tan",1576513594395,"carrot","lettuce",1,69,"none",2,"Graduated College",NA,"English","thirdDistractor","corn",26338,"The object is orange and used as a salad base","orange","red","thirdDistractor","female",8,1576513173782,7.01021666666667,1,"833746800427623"
"Mon Dec 16 2019 11:19:33 GMT-0500 (Eastern Standard Time)","1576514172041",1,2,"red_broccoli.png","red","ffc91014a76fc4160aa75bcad1e503f2c77f0139","1|3|2|0",NA,"<strong>Director</strong>: Its red and normally green","broccoli",1,"tap",1576513594395,"broccoli","tomato",1,69,"none",2,"Graduated College",NA,"English","secondDistractor","swan",15415,"Its red and normally green","white","green","secondDistractor","female",9,1576513173782,7.01021666666667,1,"833746800427623"
"Mon Dec 16 2019 11:19:33 GMT-0500 (Eastern Standard Time)","1576514189187",1,2,"green_carrot.png","orange","ffc91014a76fc4160aa75bcad1e503f2c77f0139","1|2|0|3",NA,"<strong>Director</strong>: Its green and usually orange","carrot",1,"aap",1576513594395,"carrot","pumpkin",1,69,"none",2,"Graduated College",NA,"English","target","swan",25706,"Its green and usually orange","white","green","target","female",10,1576513173782,7.01021666666667,1,"833746800427623"
"Mon Dec 16 2019 11:19:33 GMT-0500 (Eastern Standard Time)","1576514240944",1,2,"yellow_egg.png","white","ffc91014a76fc4160aa75bcad1e503f2c77f0139","2|3|1|0",NA,"<strong>Director</strong>: Its yellow with NO green","egg",1,"aan",1576513594395,"pumpkin","carrot",1,69,"none",2,"Graduated College",NA,"English","target","strawberry",43591,"Its yellow with NO green","orange","yellow","target","female",11,1576513173782,7.01021666666667,1,"833746800427623"
"Mon Dec 16 2019 11:19:33 GMT-0500 (Eastern Standard Time)","1576514257808",1,2,"white_swan.png","red","ffc91014a76fc4160aa75bcad1e503f2c77f0139","2|0|3|1",NA,"<strong>Director</strong>: Its a bird","swan",1,"ttn",1576513594395,"tomato","lettuce",1,69,"none",2,"Graduated College",NA,"English","target","egg",13969,"Its a bird","orange","white","target","female",12,1576513173782,7.01021666666667,1,"833746800427623"
"Mon Dec 16 2019 11:19:33 GMT-0500 (Eastern Standard Time)","1576514279032",1,2,"green_broccoli.png","red","ffc91014a76fc4160aa75bcad1e503f2c77f0139","3|0|1|2",NA,"<strong>Director</strong>: Green and looks like a tree","broccoli",1,"tan",1576513594395,"corn","egg",1,69,"none",2,"Graduated College",NA,"English","target","carrot",34698,"Green and looks like a tree","white","green","target","female",13,1576513173782,7.01021666666667,1,"833746800427623"
"Mon Dec 16 2019 11:19:33 GMT-0500 (Eastern Standard Time)","1576514306264",1,2,"white_swan.png","red","ffc91014a76fc4160aa75bcad1e503f2c77f0139","3|0|1|2",NA,"<strong>Director</strong>: Bird","pumpkin",1,"tan",1576513594395,"tomato","swan",1,69,"none",2,"Graduated College",NA,"English","thirdDistractor","banana",12978,"Bird","white","orange","thirdDistractor","female",14,1576513173782,7.01021666666667,1,"833746800427623"
"Mon Dec 16 2019 11:19:33 GMT-0500 (Eastern Standard Time)","1576514321135",1,2,"white_tomato.png","green","ffc91014a76fc4160aa75bcad1e503f2c77f0139","3|0|1|2",NA,"<strong>Director</strong>: Whie and usually red","tomato",1,"atn",1576513594395,"carrot","lettuce",1,69,"none",2,"Graduated College",NA,"English","target","swan",17120,"Whie and usually red","orange","white","target","female",15,1576513173782,7.01021666666667,1,"833746800427623"
"Mon Dec 16 2019 11:19:33 GMT-0500 (Eastern Standard Time)","1576514340791",1,2,"white_swan.png","white","ffc91014a76fc4160aa75bcad1e503f2c77f0139","1|2|3|0",NA,"<strong>Director</strong>: Lower right","swan",1,"aap",1576513594395,"swan","strawberry",1,69,"none",2,"Graduated College",NA,"English","secondDistractor","carrot",18981,"Lower right","red","green","firstDistractor","female",16,1576513173782,7.01021666666667,1,"833746800427623"
"Mon Dec 16 2019 11:19:33 GMT-0500 (Eastern Standard Time)","1576514361199",1,2,"white_tomato.png","green","ffc91014a76fc4160aa75bcad1e503f2c77f0139","2|0|3|1",NA,"<strong>Director</strong>: White and normally red","carrot",1,"tan",1576513594395,"swan","tomato",1,69,"none",2,"Graduated College",NA,"English","thirdDistractor","banana",19727,"White and normally red","white","orange","thirdDistractor","female",17,1576513173782,7.01021666666667,1,"833746800427623"
"Mon Dec 16 2019 11:19:33 GMT-0500 (Eastern Standard Time)","1576514382567",1,2,"white_tomato.png","yellow","ffc91014a76fc4160aa75bcad1e503f2c77f0139","3|1|2|0",NA,"<strong>Director</strong>: Same as last one","broccoli",1,"atn",1576513594395,"egg","tomato",1,69,"none",2,"Graduated College",NA,"English","thirdDistractor","strawberry",21856,"Same as last one","white","red","thirdDistractor","female",18,1576513173782,7.01021666666667,1,"833746800427623"
"Mon Dec 16 2019 11:19:33 GMT-0500 (Eastern Standard Time)","1576514400894",1,2,"yellow_strawberry.png","orange","ffc91014a76fc4160aa75bcad1e503f2c77f0139","0|1|3|2",NA,"<strong>Director</strong>: yellow and green","tomato",1,"tan",1576513594395,"carrot","strawberry",1,69,"none",2,"Graduated College",NA,"English","thirdDistractor","broccoli",18584,"yellow and green","yellow","red","thirdDistractor","female",19,1576513173782,7.01021666666667,1,"833746800427623"
"Mon Dec 16 2019 11:19:33 GMT-0500 (Eastern Standard Time)","1576514419557",1,2,"orange_banana.png","white","ffc91014a76fc4160aa75bcad1e503f2c77f0139","0|3|1|2",NA,"<strong>Director</strong>: orange, should be yellow","swan",1,"atp",1576513594395,"swan","banana",1,69,"none",2,"Graduated College",NA,"English","thirdDistractor","lettuce",14300,"orange, should be yellow","orange","green","thirdDistractor","female",20,1576513173782,7.01021666666667,1,"833746800427623"
"Mon Dec 16 2019 11:19:33 GMT-0500 (Eastern Standard Time)","1576514433109",1,2,"red_broccoli.png","white","ffc91014a76fc4160aa75bcad1e503f2c77f0139","3|1|2|0",NA,"<strong>Director</strong>: red, should be green","tomato",1,"tap",1576513594395,"tomato","swan",1,69,"none",2,"Graduated College",NA,"English","firstDistractor","broccoli",12463,"red, should be green","green","red","firstDistractor","female",21,1576513173782,7.01021666666667,1,"833746800427623"
"Mon Dec 16 2019 11:19:33 GMT-0500 (Eastern Standard Time)","1576514448213",1,2,"green_lettuce.png","green","ffc91014a76fc4160aa75bcad1e503f2c77f0139","0|1|2|3",NA,"<strong>Director</strong>: make a salad with it","lettuce",1,"atp",1576513594395,"lettuce","corn",1,69,"none",2,"Graduated College",NA,"English","secondDistractor","carrot",15334,"make a salad with it","yellow","orange","secondDistractor","female",22,1576513173782,7.01021666666667,1,"833746800427623"
"Mon Dec 16 2019 11:19:33 GMT-0500 (Eastern Standard Time)","1576514465133",1,2,"white_egg.png","white","ffc91014a76fc4160aa75bcad1e503f2c77f0139","3|1|0|2",NA,"<strong>Director</strong>: it comes from a chicken","egg",1,"atp",1576513594395,"egg","swan",1,69,"none",2,"Graduated College",NA,"English","secondDistractor","banana",20659,"it comes from a chicken","green","yellow","secondDistractor","female",23,1576513173782,7.01021666666667,1,"833746800427623"
