"distractor","startDate","utterance_cat","reaction_time1","pos2","trial_type","selectedItem2","enjoyment","selectedItem1","botresponse","reaction_time_prior","pos3","contrast","condition","endTime","refObject","pos1","selectedItem_prior","target","age","comments","context_id","reaction_time2","HitCorrect","languages","RT","pos4","gender","trial_number","startTime","timeSpent","comp","utterance","anon_worker_id"
"orange_mug","Fri Jul 05 2019 10:40:46 GMT-0700 (Pacific Daylight Time)","NaN","NaN","target","practice","NaN",1,"NaN","Barbara","NaN","comp","light_chair","contrast_not_present",1562348558167,"target","distractor","NaN","green_scissors",25,NA,"NaN","NaN",1,"english",4637,"contrast","female",1,1562348446025,1.86903333333333,"green_toothbrush","scissors","066863623258956"
"black_feather","Fri Jul 05 2019 10:40:46 GMT-0700 (Pacific Daylight Time)","NaN","NaN","comp","practice","NaN",1,"NaN","Barbara","NaN","target","yellow_lamp","contrast_not_present",1562348558167,"target","distractor","NaN","red_bellpepper",25,NA,"NaN","NaN",1,"english",3356,"contrast","female",2,1562348446025,1.86903333333333,"red_book","pepper","066863623258956"
"orange_butterfly","Fri Jul 05 2019 10:40:46 GMT-0700 (Pacific Daylight Time)","NaN","NaN","comp","practice","NaN",1,"NaN","Barbara","NaN","contrast","red_jacket","contrast_present",1562348558167,"target","target","NaN","yellow_jacket",25,NA,"NaN","NaN",1,"english",4301,"distractor","female",3,1562348446025,1.86903333333333,"yellow_bike","yellow jacket","066863623258956"
"green_scissors","Fri Jul 05 2019 10:40:46 GMT-0700 (Pacific Daylight Time)","NaN","NaN","comp","practice","NaN",1,"NaN","Barbara","NaN","contrast","purple_flower","contrast_present",1562348558167,"target","target","NaN","red_flower",25,NA,"NaN","NaN",1,"english",2482,"distractor","female",4,1562348446025,1.86903333333333,"red_candle","red flower","066863623258956"
"white_tomato","Fri Jul 05 2019 10:40:46 GMT-0700 (Pacific Daylight Time)","unmodified","1329","distractor","filler","NaN",1,"yellow_banana","Barbara","3649","target","red_corn","ttp",1562348558167,"comp","comp","yellow_banana","yellow_corn",25,NA,"yellow_ttp_corn","NaN",1,"english",7577,"contrast","female",1,1562348446025,1.86903333333333,"yellow_banana","banana","066863623258956"
"red_broccoli","Fri Jul 05 2019 10:40:46 GMT-0700 (Pacific Daylight Time)","modified","1516","distractor","critical","yellow_banana",1,"yellow_egg","Barbara","2665","comp","white_tomato","tan",1562348558167,"target","target","yellow_egg","yellow_banana",25,NA,"yellow_tan_banana","1018",1,"english",7422,"contrast","female",2,1562348446025,1.86903333333333,"yellow_egg","yellow banana","066863623258956"
"red_strawberry","Fri Jul 05 2019 10:40:46 GMT-0700 (Pacific Daylight Time)","modified","828","comp","critical","yellow_corn",1,"yellow_banana","Barbara","1703","contrast","white_pumpkin","ttn",1562348558167,"target","target","yellow_banana","yellow_corn",25,NA,"yellow_ttn_corn","817",1,"english",5619,"distractor","female",3,1562348446025,1.86903333333333,"yellow_banana","yellow corn","066863623258956"
"white_pumpkin","Fri Jul 05 2019 10:40:46 GMT-0700 (Pacific Daylight Time)","modified","1267","comp","critical","yellow_corn",1,"yellow_corn","Barbara","1670","target","red_corn","tap",1562348558167,"target","distractor","white_pumpkin","yellow_corn",25,NA,"yellow_tap_corn","1234",1,"english",6114,"contrast","female",4,1562348446025,1.86903333333333,"yellow_strawberry","yellow corn","066863623258956"
"orange_mug","Fri Jul 05 2019 12:59:39 GMT-0400 (Eastern Daylight Time)","NaN","NaN","comp","practice","NaN",2,"NaN","Susan","NaN","contrast","light_chair","contrast_not_present",1562346385594,"target","target","NaN","green_scissors",30,"This was a great study","NaN","NaN",1,"English",14774,"distractor","female",1,1562345979757,6.76395,"green_toothbrush","scissors","220404740081289"
"green_scissors","Fri Jul 05 2019 12:59:39 GMT-0400 (Eastern Daylight Time)","NaN","NaN","target","practice","NaN",2,"NaN","Susan","NaN","comp","purple_flower","contrast_present",1562346385594,"target","contrast","NaN","red_flower",30,"This was a great study","NaN","NaN",1,"English",4213,"distractor","female",2,1562345979757,6.76395,"red_candle","red flower","220404740081289"
"black_feather","Fri Jul 05 2019 12:59:39 GMT-0400 (Eastern Daylight Time)","NaN","NaN","contrast","practice","NaN",2,"NaN","Susan","NaN","distractor","yellow_lamp","contrast_not_present",1562346385594,"target","comp","NaN","red_bellpepper",30,"This was a great study","NaN","NaN",1,"English",3422,"target","female",3,1562345979757,6.76395,"red_book","red pepper","220404740081289"
"orange_butterfly","Fri Jul 05 2019 12:59:39 GMT-0400 (Eastern Daylight Time)","NaN","NaN","contrast","practice","NaN",2,"NaN","Susan","NaN","distractor","red_jacket","contrast_present",1562346385594,"target","comp","NaN","yellow_jacket",30,"This was a great study","NaN","NaN",1,"English",4867,"target","female",4,1562345979757,6.76395,"yellow_bike","yellow jacket","220404740081289"
"white_tomato","Fri Jul 05 2019 12:59:39 GMT-0400 (Eastern Daylight Time)","unmodified","2457","target","filler","NaN",2,"yellow_banana","Susan","4923","contrast","red_corn","ttp",1562346385594,"comp","comp","yellow_banana","yellow_corn",30,"This was a great study","yellow_ttp_corn","NaN",1,"English",10398,"distractor","female",1,1562345979757,6.76395,"yellow_banana","banana","220404740081289"
"white_pumpkin","Fri Jul 05 2019 12:59:39 GMT-0400 (Eastern Daylight Time)","modified","2156","contrast","critical","yellow_corn",2,"yellow_strawberry","Susan","1958","distractor","red_corn","tap",1562346385594,"target","target","white_pumpkin","yellow_corn",30,"This was a great study","yellow_tap_corn","942",1,"English",7766,"comp","female",2,1562345979757,6.76395,"yellow_strawberry","yellow corn","220404740081289"
"red_broccoli","Fri Jul 05 2019 12:59:39 GMT-0400 (Eastern Daylight Time)","modified","2122","distractor","critical","yellow_banana,yellow_banana",2,"yellow_egg","Susan","1985","target","white_tomato","tan",1562346385594,"target","contrast","yellow_egg","yellow_banana",30,"This was a great study","yellow_tan_banana","2349,2728",1,"English",9754,"comp","female",3,1562345979757,6.76395,"yellow_egg","yellow banana","220404740081289"
"red_strawberry","Fri Jul 05 2019 12:59:39 GMT-0400 (Eastern Daylight Time)","modified","3157","distractor","critical","yellow_corn",2,"yellow_banana","Susan","2386","comp","white_pumpkin","ttn",1562346385594,"target","target","red_strawberry","yellow_corn",30,"This was a great study","yellow_ttn_corn","1890",1,"English",10523,"contrast","female",4,1562345979757,6.76395,"yellow_banana","yellow corn","220404740081289"
"orange_mug","Fri Jul 05 2019 12:44:21 GMT-0700 (Pacific Daylight Time)","NaN","NaN","contrast","practice","NaN",1,"NaN","jennifer","NaN","comp","light_chair","contrast_not_present",1562356162638,"target","distractor","NaN","green_scissors",26,NA,"NaN","NaN",1,"Macedonian",7978,"target","female",1,1562355861538,5.01833333333333,"green_toothbrush","scissors","251841292337632"
"black_feather","Fri Jul 05 2019 12:44:21 GMT-0700 (Pacific Daylight Time)","NaN","NaN","comp","practice","NaN",1,"NaN","jennifer","NaN","distractor","yellow_lamp","contrast_not_present",1562356162638,"target","contrast","NaN","red_bellpepper",26,NA,"NaN","NaN",1,"Macedonian",17550,"target","female",2,1562355861538,5.01833333333333,"red_book","pepper","251841292337632"
"green_scissors","Fri Jul 05 2019 12:44:21 GMT-0700 (Pacific Daylight Time)","NaN","NaN","comp","practice","NaN",1,"NaN","jennifer","NaN","contrast","purple_flower","contrast_present",1562356162638,"target","target","NaN","red_flower",26,NA,"NaN","NaN",1,"Macedonian",9065,"distractor","female",3,1562355861538,5.01833333333333,"red_candle","red flower","251841292337632"
"orange_butterfly","Fri Jul 05 2019 12:44:21 GMT-0700 (Pacific Daylight Time)","NaN","NaN","target","practice","NaN",1,"NaN","jennifer","NaN","distractor","red_jacket","contrast_present",1562356162638,"target","comp","NaN","yellow_jacket",26,NA,"NaN","NaN",1,"Macedonian",8867,"contrast","female",4,1562355861538,5.01833333333333,"yellow_bike","yellow jacket","251841292337632"
"white_tomato","Fri Jul 05 2019 12:44:21 GMT-0700 (Pacific Daylight Time)","unmodified","2538","target","filler","NaN",1,"yellow_banana","jennifer","25345","comp","red_corn","ttp",1562356162638,"comp","distractor","yellow_corn","yellow_corn",26,NA,"yellow_ttp_corn","NaN",1,"Macedonian",31147,"contrast","female",1,1562355861538,5.01833333333333,"yellow_banana","banana","251841292337632"
