"distractor","startDate","utterance_cat","reaction_time1","pos2","trial_type","selectedItem2","enjoyment","selectedItem1","botresponse","reaction_time_prior","pos3","contrast","condition","endTime","refObject","pos1","selectedItem_prior","target","age","comments","context_id","reaction_time2","HitCorrect","languages","RT","betwsubj","pos4","gender","trial_number","startTime","timeSpent","comp","utterance","anon_worker_id"
"orange_butterfly","Tue Aug 27 2019 11:19:37 GMT-0700 (Pacific Daylight Time)","NaN","NaN","contrast","practice","NaN",1,"NaN","Barbara","NaN","distractor","red_jacket","contrast_present",1566931083426,"target","target","NaN","yellow_jacket",26,"nice survey","NaN","NaN",1,"english",13127,"typical","comp","female",1,1566929977187,18.4373166666667,"yellow_bike","red","688591774563327"
"black_feather","Tue Aug 27 2019 11:19:37 GMT-0700 (Pacific Daylight Time)","NaN","NaN","comp","practice","NaN",1,"NaN","Barbara","NaN","target","yellow_lamp","contrast_not_present",1566931083426,"target","distractor","NaN","red_bellpepper",26,"nice survey","NaN","NaN",1,"english",11859,"typical","contrast","female",2,1566929977187,18.4373166666667,"red_book","book","688591774563327"
"green_scissors","Tue Aug 27 2019 11:19:37 GMT-0700 (Pacific Daylight Time)","NaN","NaN","comp","practice","NaN",1,"NaN","Barbara","NaN","distractor","purple_flower","contrast_present",1566931083426,"target","contrast","NaN","red_flower",26,"nice survey","NaN","NaN",1,"english",21156,"typical","target","female",3,1566929977187,18.4373166666667,"red_candle","flower","688591774563327"
"orange_mug","Tue Aug 27 2019 11:19:37 GMT-0700 (Pacific Daylight Time)","NaN","NaN","target","practice","NaN",1,"NaN","Barbara","NaN","distractor","light_chair","contrast_not_present",1566931083426,"target","comp","NaN","green_scissors",26,"nice survey","NaN","NaN",1,"english",8239,"typical","contrast","female",4,1566929977187,18.4373166666667,"green_toothbrush","cup","688591774563327"
"green_carrot","Tue Aug 27 2019 11:19:37 GMT-0700 (Pacific Daylight Time)","modified","4053,4550,4864","distractor","critical","yellow_egg",1,"yellow_egg,yellow_egg,yellow_egg","Barbara","15691,15787","comp","orange_lettuce","atn",1566931083426,"target","contrast","green_carrot,green_carrot","yellow_egg",26,"nice survey","yellow_atn_egg","7228",1,"english",31781,"typical","target","female",1,1566929977187,18.4373166666667,"yellow_corn","yellow egg","688591774563327"
"yellow_egg","Tue Aug 27 2019 11:19:37 GMT-0700 (Pacific Daylight Time)","unmodified","20986","contrast","filler","NaN",1,"green_lettuce","Barbara","1956","distractor","orange_lettuce","ttp",1566931083426,"comp","target","orange_lettuce","green_lettuce",26,"nice survey","green_ttp_lettuce","NaN",1,"english",26313,"typical","comp","female",2,1566929977187,18.4373166666667,"green_broccoli","broccoli","688591774563327"
"red_strawberry","Tue Aug 27 2019 11:19:37 GMT-0700 (Pacific Daylight Time)","modified","2067","contrast","filler","red_strawberry",1,"orange_banana","Barbara","2284","distractor","yellow_banana","aap",1566931083426,"contrast","target","yellow_banana","orange_banana",26,"nice survey","orange_aap_banana","2692",1,"english",11036,"typical","comp","female",3,1566929977187,18.4373166666667,"orange_lettuce","yellow banana","688591774563327"
"yellow_banana","Tue Aug 27 2019 11:19:37 GMT-0700 (Pacific Daylight Time)","unmodified","1811","comp","filler","NaN",1,"yellow_banana","Barbara","2367","target","orange_lettuce","tap",1566931083426,"distractor","contrast","green_swan","green_lettuce",26,"nice survey","green_tap_lettuce","NaN",1,"english",6852,"typical","distractor","female",4,1566929977187,18.4373166666667,"green_swan","banana","688591774563327"
"yellow_corn","Tue Aug 27 2019 11:19:37 GMT-0700 (Pacific Daylight Time)","unmodified","1999","comp","filler","NaN",1,"yellow_corn","Barbara","1403","distractor","orange_banana","atn",1566931083426,"comp","contrast","orange_banana","green_swan",26,"nice survey","green_atn_swan","NaN",1,"english",5635,"typical","target","female",5,1566929977187,18.4373166666667,"green_broccoli","broccoli","688591774563327"
"yellow_corn","Tue Aug 27 2019 11:19:37 GMT-0700 (Pacific Daylight Time)","unmodified","1672","target","filler","NaN",1,"orange_carrot","Barbara","1575","distractor","white_swan","ttn",1566931083426,"distractor","comp","orange_pumpkin","orange_carrot",26,"nice survey","orange_ttn_carrot","NaN",1,"english",5213,"typical","contrast","female",6,1566929977187,18.4373166666667,"orange_pumpkin","corn","688591774563327"
